word,colour,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,fixation.started,fixation.stopped,text.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
joy,Pink,p,1,9,21,2,,,65.34884260001127,65.84786780003924,65.84786780003924,65.84786780003924,p,1,1.981394200003706,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
disturbed,Blue,b,1,10,22,7,,,67.86541720002424,68.34877939999569,68.34877939999569,68.34877939999569,b,1,2.269834600039758,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
happy,Red,r,1,11,23,0,,,70.64958460000344,71.14977940008976,71.14977940008976,71.14977940008976,r,1,1.8980992999859154,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
remorse,Blue,b,2,0,24,4,,,73.0683083999902,73.56713330000639,73.56713330000639,73.56713330000639,b,1,1.5261256999801844,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
bottle,Green,g,2,1,25,8,,,75.13457290001679,75.61791919998359,75.61791919998359,75.61791919998359,g,1,1.0665715999202803,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
excitement,Green,g,2,2,26,3,,,76.71859150007367,77.20195290003903,77.20195290003903,77.20195290003903,g,1,1.2862318999832496,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
sad,Red,r,2,3,27,5,,,78.5190644999966,79.01926380000077,79.01926380000077,79.01926380000077,r,1,1.1643863000208512,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
delighted,Blue,b,2,4,28,1,,,80.2038197000511,80.70319760008715,80.70319760008715,80.70319760008715,b,1,1.3059043999528512,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
pen,Pink,p,2,5,29,10,,,82.03732340002898,82.5378028000705,82.5378028000705,82.5378028000705,p,1,1.5359904000069946,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
disturbed,Blue,b,2,6,30,7,,,84.10400210006628,84.6046023000963,84.6046023000963,84.6046023000963,b,1,2.2023081000661477,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
happy,Red,r,2,7,31,0,,,86.83870319998823,87.33890530001372,87.33890530001372,87.33890530001372,r,1,1.0677843000739813,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
joy,Pink,p,2,8,32,2,,,88.43928170006257,88.93946250004228,88.93946250004228,88.93946250004228,p,1,1.0113986999494955,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
angry,Pink,p,2,9,33,6,,,89.97323430003598,90.47335029998794,90.47335029998794,90.47335029998794,r,0,1.4981610000832006,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
cap,Red,r,2,10,34,9,,,91.99181580008008,92.49074939999264,92.49074939999264,92.49074939999264,r,1,6.536610900075175,None,96.99237460002769,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
bag,Green,g,2,11,35,11,,,99.05974310007878,99.56000340008177,99.56000340008177,99.56000340008177,g,1,1.4567803000099957,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
